author,stars,body,createdAt,wouldRecommend,title,comfort,style,value,sizing,photos,helpfulVotes,productId
Kris,3,Corporis accusamus aperiam aliquam qui ut natus et. Qui velit laboriosam ut esse assumenda. Possimus tenetur esse doloremque nemo dolor provident aut doloremque. Vero reiciendis earum est doloribus. Maiores facere ut beatae minima.,2020-03-24,false,purple,2,1,0,2,null,0,1
Raymundo,1,Dolorem nesciunt quisquam. Consectetur ea id debitis et sit. Laboriosam excepturi ad voluptas consequuntur pariatur dolor non perferendis ullam.,2020-01-16,false,Ethiopia Shoes Metal,5,1,5,3,null,15,2
Hildegard,0,Sed temporibus distinctio laudantium quaerat. Doloribus nobis aliquid distinctio ea provident id nihil in. Sit rerum voluptatum omnis autem quam fugit. Quis voluptatem omnis quisquam a quia deserunt provident ut. Cumque fugit et libero. Excepturi eligendi sequi autem qui et veritatis corporis id officiis.,2020-09-13,false,Steel optical Berkshire,0,4,0,1,null,14,3
Aleen,3,Fuga non error veritatis voluptates consequuntur corporis dolorem in at. In voluptas nihil. Sed tempora qui voluptate repudiandae. Adipisci aut harum quisquam accusantium quae qui. Eligendi ea sunt corrupti.,2020-10-11,true,Springs Human Corporate,0,3,5,1,null,7,4
Christophe,2,Aut voluptas nobis occaecati dolores doloribus cupiditate est odit est. Deserunt itaque ipsa id debitis quam. Suscipit rerum quis nulla expedita error ab incidunt.,2019-10-25,true,experiences Ergonomic,0,0,3,3,null,14,5
Burnice,4,Nihil delectus alias dolorem adipisci deserunt est odio quam. Recusandae laborum et nihil. Velit eos quam velit adipisci sed et tempora est. Quis vel sint porro.,2020-02-16,true,Organic,1,2,4,3,null,19,6
Noelia,5,Labore alias distinctio vero quis nobis. Officia saepe nostrum fugit delectus. Aut optio aliquam mollitia.,2020-06-15,true,Refined,2,2,1,1,null,1,7
Uriah,5,Velit sequi cumque vel corporis. Consequatur earum recusandae odit. Rerum illum possimus et illum sunt quo sit sequi expedita. Qui ut voluptatem et eos mollitia repellendus voluptates odio.,2019-10-20,false,Robust,2,1,2,3,null,8,8
Jazmyne,4,Minus explicabo qui iure ipsa. Dolores enim et. Modi aut amet.,2020-06-05,false,Cambridgeshire Planner B2C,5,0,3,2,null,7,9
Tia,2,Eaque dolor est dolor ut repellendus ea. Dolorem voluptas optio magnam sint cum sit repellat. Eligendi voluptas ad quod voluptatem et.,2020-06-04,false,Optimization Delaware Fully-configurable,3,4,1,2,null,3,10
